,state,fertility,population,territory,density,GDP,GDPcap,GDPgrowth,GDPcapgrowth,literacy,education
0,Chad,5.94,18675547.0,1259200.0,16.0,18792.0,991.0,3.2,1.0,22.3,0.288
1,Somalia,5.91,19009151.0,627340.0,30.0,12994.0,766.0,4.0,0.0,39.0,
2,DR Congo,5.9,,2267050.0,48.0,79119.0,743.0,4.7,5.1,77.0,
3,Central African Republic,5.81,6470307.0,622980.0,8.6,2932.0,532.0,1.4,-2.0,37.4,0.353
4,Niger,5.79,26312034.0,1266700.0,21.0,21874.0,751.0,9.9,-1.2,35.1,0.249
5,Mali,5.42,22395489.0,1220190.0,20.0,23208.0,936.0,3.8,2.1,35.5,0.286
6,Angola,4.95,35121734.0,1246700.0,30.0,113343.0,2884.0,2.4,-2.2,71.1,0.5
7,Burundi,4.68,12837740.0,25680.0,547.0,6745.0,490.0,2.2,-0.0,68.4,0.417
8,Afghanistan,4.66,42045000.0,652230.0,65.0,,409.0,,-8.6,37.3,0.414
9,Mozambique,4.62,33244414.0,786380.0,44.0,23771.0,663.0,4.3,2.1,60.7,0.395
10,Mauritania,4.56,4927532.0,1030700.0,5.0,11470.0,2478.0,4.4,0.7,53.5,0.396
11,Tanzania,4.47,61741120.0,885800.0,77.0,85977.0,1280.0,5.4,1.5,77.9,0.429
12,Benin,4.42,12910087.0,112760.0,128.0,22236.0,1532.0,6.5,3.6,42.4,0.478
13,Yemen,4.41,32305264.0,527970.0,77.0,17401.0,417.0,-1.0,-1.7,70.1,0.36
14,Nigeria,4.3,223800000.0,910770.0,255.0,188271.0,807.0,3.1,0.4,62.0,0.499
15,Sudan,4.19,50448963.0,1868000.0,27.0,31506.0,625.0,-20.3,-3.5,60.7,0.345
16,Cameroon,4.19,28758503.0,472710.0,62.0,56011.0,1865.0,3.9,1.3,77.1,0.547
17,Ivory Coast,4.17,29389150.0,318000.0,100.0,94483.0,2872.0,6.5,3.9,89.9,0.453
18,Togo,4.07,8095498.0,54390.0,175.0,10023.0,1053.0,5.3,4.0,66.5,0.517
19,Uganda,4.06,45905417.0,200520.0,249.0,64277.0,1339.0,5.9,2.3,76.5,0.523
20,Congo,4.05,,341500.0,19.0,15281.0,2356.0,,,80.3,0.543
21,Guinea,4.04,14363931.0,245720.0,60.0,30094.0,1904.0,4.1,4.6,39.6,0.354
